Depth,Vp,Vs
-2000.0,5295.8,3043.5
 0000.0,5461.3,3138.6
 2000.0,5554.2,3192.1
 4000.0,5951.7,3420.5
 6000.0,6178.1,3550.8
 8000.0,5869.8,3373.5
10000.0,5964.6,3427.9
12000.0,6027.4,3464.0
14000.0,5981.1,3437.4
16000.0,5932.5,3409.3
18000.0,5974.2,3433.4
20000.0,6217.7,3573.4
22000.0,6407.6,3682.6
24000.0,6451.8,3708.0
26000.0,6348.2,3648.5
30000.0,6500.0,3850.0
