-16.8565216617,64.8547904062
-16.8559653144,64.855330919
-16.8554109352,64.8558733589
-16.854858524,64.8564177261
-16.854308081,64.8569640204
-16.8537596061,64.8575122419
-16.8532130993,64.8580623906
-16.8526685606,64.8586144665
-16.85212599,64.8591684696
-16.8512029308,64.8601087154
-16.8507715825,64.8605501803
-16.8504116976,64.860920709
-16.8500912012,64.8612542383
-16.849753392,64.8616107089
-16.8494397933,64.8619473813
-16.8491447706,64.8622703083
-16.84886543,64.8625826648
-16.8487663227,64.8626962495
-16.8486642815,64.8628161611
-16.8484464848,64.8630807781
-16.8482343867,64.8633470358
-16.8478252508,64.8638700575
-16.8476871333,64.8640446406
-16.8475242616,64.8642472887
-16.8473757879,64.8644273119
-16.8472051008,64.864627256
-16.8470417116,64.8648104431
-16.8468825105,64.8649803543
-16.846725862,64.8651387246
-16.8465526622,64.8653064523
-16.8463770786,64.8654717139
-16.846199111,64.8656345095
-16.8460187596,64.8657948389
-16.8458360243,64.8659527023
-16.845650905,64.8661080996
-16.8454634019,64.8662610308
-16.8452735148,64.866411496
-16.8450812439,64.8665594951
-16.8448865891,64.866705028
-16.8446895503,64.866848095
-16.8444901277,64.8669886958
-16.8442883212,64.8671268305
-16.8440841308,64.8672624992
-16.8438775565,64.8673957018
-16.8436685982,64.8675264383
