Latitude,Longitude,Elevation,Name,Network
64.32799,-17.22406,1.2951,SKR01,ZK
64.32809,-17.21779,1.2440,SKR02,ZK
64.32529,-17.22019,1.2310,SKR03,ZK
64.32468,-17.22803,1.2220,SKR04,ZK
64.32780,-17.23388,1.2210,SKR05,ZK
64.33208,-17.22983,1.2990,SKR06,ZK
64.33272,-17.21822,1.2490,SKR07,ZK
64.32452,-17.20658,1.2440,SKG08,ZK
64.31833,-17.22341,1.2040,SKG09,ZK
64.32223,-17.24511,1.2020,SKG10,ZK
64.33348,-17.24828,1.2390,SKG11,ZK
64.34092,-17.22510,1.2590,SKG12,ZK
64.33200,-17.20933,1.2480,SKG13,ZK
