Latitude,Longitude,Elevation,Name
8.18231,39.180901,2.028,ANOL
7.93739,39.128651,2.489,ASSE
7.89624,38.928089,1.748,BESH
8.04166,39.194618,2.269,GOND
8.12581,39.226139,2.196,ITTE
8.12327,38.964619,1.689,ODAS
8.18142,39.058128,1.735,TULL
8.1435,39.077991,1.784,ULAR
