Latitude,Longitude,Elevation,Name,Network
-78.1454,-84.0391,0.307,ST01,YG
-78.1534,-84.0178,0.307,ST02,YG
-78.1613,-83.9965,0.307,ST03,YG
-78.1490,-83.9789,0.307,ST04,YG
-78.1577,-84.0567,0.307,ST05,YG
-78.1294,-83.8077,0.307,ST06,YG
-78.1338,-83.8465,0.307,ST07,YG
-78.1258,-83.8679,0.307,ST08,YG
-78.1418,-83.8252,0.307,ST09,YG
-78.1382,-83.8852,0.307,ST10,YG
